station_name,pollution_score_mean,lines_affected,station_id_list,latitude,longitude,avg_passages
Magenta,2.0,RER E,IDFM:monomodalStopPlace:58572,48.901356997800185,2.389782986275449,41.79032258064516
Mairie d'Aubervilliers,2.0,Métro 12,IDFM:483904,48.9134038942747,2.3802818555927714,36.557291666666664
Mairie d'Issy,2.0,Métro 12,IDFM:463219,48.82558392636129,2.273309332795535,26.548295454545453
Mairie d'Ivry,2.0,Métro 7,IDFM:463220,48.811210093393306,2.383498053635828,32.595238095238095
Mairie de Clichy,2.0,Métro 13,IDFM:22238,48.90349897462669,2.3058484063578857,26.607843137254903
Mairie de Montreuil,2.0,Métro 9,IDFM:21941,48.8622744369706,2.4418193772459085,35.8423645320197
Mairie de Montrouge,2.0,Métro 4,IDFM:26602,48.819131655934754,2.320087247496867,33.205607476635514
Mairie de Saint-Ouen,2.0,"Métro 14, Métro 13","IDFM:480330, IDFM:463212",48.91202122382531,2.3337865427286206,73.65882352941176
Mairie des Lilas,2.0,Métro 11,IDFM:21999,48.87974365006289,2.4162978208011863,21.04605263157895
Maison Blanche,2.0,Métro 7,IDFM:463224,48.93024372507269,1.975855479247203,28.604761904761904
Maisons-Alfort - Les Juilliottes,2.0,Métro 8,IDFM:22216,48.80310585036659,2.4457883063759605,75.21428571428571
Maisons-Alfort - Stade,2.0,Métro 8,IDFM:22215,48.80891847848263,2.434819533389365,73.46511627906976
Malakoff - Plateau de Vanves,1.0,Métro 13,IDFM:22235,48.82220756804045,2.298295381702497,91.14285714285714
Malesherbes,2.0,Métro 3,IDFM:463068,48.882763294053696,2.3094384103380805,47.54838709677419
Maraîchers,2.0,Métro 9,IDFM:463215,48.85226358804668,2.40608475720217,20.5125
Marcadet - Poissonniers,1.5,"Métro 4, Métro 12","IDFM:462974, IDFM:462973",48.89145292865467,2.3499794329782024,38.019762845849804
Marcel Sembat,2.0,Métro 9,IDFM:462914,48.78746896772075,2.179104510368381,16.737439222042138
Marx Dormoy,2.0,Métro 12,IDFM:463236,48.66856661637683,2.5291973497705498,22.120772946859905
Maubert - Mutualité,2.0,Métro 10,IDFM:21975,48.85010969451494,2.348219343927666,24.11242603550296
Michel Bizot,1.0,Métro 8,IDFM:463226,48.837000553950986,2.40228042706469,40.07216494845361
Michel-Ange - Auteuil,2.5,"Métro 10, Métro 9","IDFM:21907, IDFM:463238",48.84747099784501,2.2638740050627413,28.0
Michel-Ange - Molitor,2.5,"Métro 9, Métro 10","IDFM:463239, IDFM:21904",48.84515597018703,2.2618218573220084,58.666666666666664
Mirabeau,2.0,Métro 10,IDFM:21982,48.84707750734599,2.2730641263728333,23.596774193548388
Miromesnil,1.5,"Métro 9, Métro 13","IDFM:462957, IDFM:22224",48.8737728492328,2.3146430401104467,86.58333333333333
Monceau,2.0,Métro 2,IDFM:463240,48.88056877012684,2.309412967374703,25.35625
Montgallet,1.0,Métro 8,IDFM:463241,48.8440641552825,2.39052195642492,45.073170731707314
Montparnasse Bienvenue,1.75,"Métro 6, Métro 13, Métro 4, Métro 12","IDFM:462955, IDFM:22157, IDFM:22143, IDFM:462980",48.84382361125447,2.323989185205003,80.99418604651163
Mouton-Duvernet,1.0,Métro 4,IDFM:22144,48.83165302284046,2.3300048286506234,17.75229357798165
Musée d'Orsay,2.0,RER C,IDFM:monomodalStopPlace:45705,48.860748352847104,2.32378321018576,55.0921052631579
Ménilmontant,2.0,Métro 2,IDFM:22116,48.866440166781686,2.38353966877949,70.02325581395348
Nanterre Préfecture,2.0,RER A,IDFM:monomodalStopPlace:43169,48.895886773064674,2.222986242991368,190.14285714285714
Nation,2.0,"Métro 6, Métro 2, Métro 1, Métro 9, RER A","IDFM:22073, IDFM:22072, IDFM:22080, IDFM:21919, IDFM:monomodalStopPlace:473875",48.84888521841715,2.3959437210498136,103.22916666666667
Neuilly Porte Maillot,2.0,RER C,IDFM:monomodalStopPlace:415093,48.87834780404864,2.284217509613705,91.0
Nogent-sur-Marne,1.0,RER A,IDFM:monomodalStopPlace:47886,48.834306538503405,2.471683791180998,88.25
Noisy-le-Grand - Mont d'Est,2.0,RER A,IDFM:monomodalStopPlace:474082,48.84088525041221,2.550026754158765,124.33333333333333
Notre-Dame des Champs,1.0,Métro 12,IDFM:22051,48.84508150807547,2.328564944227944,66.02325581395348
Notre-Dame-de-Lorette,2.0,Métro 12,IDFM:463062,48.8760350312806,2.3378736192226386,67.5952380952381
Oberkampf,3.0,"Métro 5, Métro 9","IDFM:463059, IDFM:21925",48.86458119806749,2.36852626860384,77.54117647058824
Odéon,1.5,"Métro 4, Métro 10","IDFM:22145, IDFM:21978",48.8519477060765,2.340619126473996,63.870588235294115
Olympiades,2.0,Métro 14,IDFM:463045,48.827123441429386,2.3669231215308075,44.04848484848485
Opéra,1.3333333333333333,"Métro 7, Métro 3, Métro 8","IDFM:22381, IDFM:463246, IDFM:22195",48.87108068838136,2.331583560340747,28.415637860082306
Ourcq,3.0,Métro 5,IDFM:22005,48.88714990283661,2.3866765356019912,30.77952755905512
Palais Royal - Musée du Louvre,2.0,"Métro 1, Métro 7","IDFM:22079, IDFM:22376",48.86222226557415,2.336454367754252,48.78034682080925
Parmentier,2.0,Métro 3,IDFM:22019,48.94824924698212,2.8658468414089544,14.550649350649351
Pasteur,2.0,"Métro 12, Métro 6","IDFM:462947, IDFM:22166",48.7598798062538,2.3187095161787465,14.716188524590164
Pelleport,2.0,Métro 3B,IDFM:21948,48.86842046799948,2.40160636134298,19.67391304347826
Pereire,2.0,Métro 3,IDFM:463228,48.88484432273985,2.297683186012584,45.016666666666666
Pernety,1.0,Métro 13,IDFM:463229,48.834078679774976,2.318393706614701,41.65486725663717
Philippe Auguste,2.0,Métro 2,IDFM:463230,48.858175121260864,2.390547705552573,43.58024691358025
Picpus,2.0,Métro 6,IDFM:463098,48.84501767720269,2.401248269453829,50.55172413793103
Pierre et Marie Curie,2.0,Métro 7,IDFM:22397,48.73747856172913,2.726942674475094,13.870967741935484
Pigalle,2.5,"Métro 12, Métro 2","IDFM:22040, IDFM:22114",48.88201178841109,2.3371840091053384,43.69101123595506
Place Monge,2.0,Métro 7,IDFM:22366,48.842666385642886,2.3521548685787708,63.18604651162791
Place d'Italie,2.0,"Métro 7, Métro 5, Métro 6","IDFM:463026, IDFM:22006, IDFM:463003",48.83096622708413,2.35559694336975,67.61611374407583
Place de Clichy,1.5,"Métro 2, Métro 13","IDFM:22115, IDFM:22129",48.88348047193721,2.328001671291839,31.98270893371758
Place des Fêtes,2.0,"Métro 11, Métro 7B","IDFM:21951, IDFM:24682",48.8772278271806,1.9791615268654208,15.584450402144773
Plaisance,2.0,Métro 13,IDFM:463085,48.83174121370108,2.313833364032832,45.690265486725664
Poissonnière,1.0,Métro 7,IDFM:22377,48.87716484925024,2.3487397513900734,64.69047619047619
Pont Cardinet,2.0,Métro 14,IDFM:480286,48.88702000474643,2.3130640389387915,42.51882845188285
Pont Marie (Cité des Arts),1.0,Métro 7,IDFM:22378,48.85341474936241,2.357349968447059,64.69047619047619
Pont Neuf,1.0,Métro 7,IDFM:463232,48.9397901219991,2.0371549081987514,21.3943661971831
Pont de Levallois - Bécon,1.0,Métro 3,IDFM:462985,48.89718710383118,2.280180198501724,46.39705882352941
Pont de Neuilly,2.0,Métro 1,IDFM:22099,48.88548938897471,2.258495429369125,35.755434782608695
Pont de Sèvres,2.0,Métro 9,IDFM:463233,48.829443621168856,2.228996459992999,17.445628997867804
Pont de l'Alma,2.0,RER C,IDFM:monomodalStopPlace:415091,48.86247496310803,2.3003592740110994,138.6
Port Royal,1.0,RER B,IDFM:monomodalStopPlace:44500,48.83950829423831,2.3371386589059067,29.190812720848058
Porte Dauphine,2.0,Métro 2,IDFM:22111,48.87139679524832,2.277632717545272,46.729729729729726
Porte Dorée,2.0,Métro 8,IDFM:22207,48.8350662204656,2.405749381400099,42.36423841059602
Porte Maillot,1.0,Métro 1,IDFM:22078,48.87816265364455,2.2825838473615496,59.917647058823526
Porte d'Auteuil,2.0,Métro 10,IDFM:463234,48.84704258017948,2.258579172905108,19.137724550898202
Porte d'Italie,1.0,Métro 7,IDFM:463235,48.81903428608761,2.359462523882543,37.36470588235294
Porte d'Ivry,1.0,Métro 7,IDFM:463029,48.821489035562834,2.3695112543194927,27.093167701863354
Porte d'Orléans,2.0,Métro 4,IDFM:463092,48.82086336948402,2.3257169716159,27.217032967032967
Porte de Bagnolet,2.0,Métro 3,IDFM:463276,48.86432836987192,2.4088234090802456,20.786008230452676
Porte de Champerret,2.0,Métro 3,IDFM:463258,48.885736266685264,2.291848147336647,33.09285714285714
Porte de Charenton,1.0,Métro 8,IDFM:22208,48.83127896564364,2.3983682235305785,35.3681592039801
Porte de Choisy,1.0,Métro 7,IDFM:463030,48.81987002709235,2.3660850495239054,30.561643835616437
Porte de Clichy,2.0,"Métro 14, Métro 13, RER C","IDFM:480541, IDFM:463278, IDFM:monomodalStopPlace:44514",48.89464071673921,2.3136590957118317,40.88562091503268
Porte de Clignancourt,2.0,Métro 4,IDFM:463073,48.89755778141871,2.3447472731828847,31.719354838709677
Porte de Montreuil,2.0,Métro 9,IDFM:463279,48.85356350094303,2.4107036110235414,29.376288659793815
Porte de Pantin,2.0,Métro 5,IDFM:463280,48.888535337600175,2.3920607143419303,29.465608465608465
Porte de Saint-Cloud,2.0,Métro 9,IDFM:463259,48.83795840561949,2.2570461929221506,34.586497890295355
Porte de Saint-Ouen,1.0,Métro 13,IDFM:22220,48.89805705604687,2.3293412178676056,23.727272727272727
Porte de Vanves,1.0,Métro 13,IDFM:463260,48.827116693650815,2.3041956026035315,34.93607305936073
Porte de Versailles,1.0,Métro 12,IDFM:22042,48.83301690715141,2.2889541932682653,39.723404255319146
Porte de Vincennes,2.0,Métro 1,IDFM:22077,48.84700773108863,2.4108049967015006,32.544444444444444
Porte de la Chapelle,1.0,Métro 12,IDFM:22041,48.89740242267042,2.359248542310361,26.218289085545724
Porte de la Villette,2.0,Métro 7,IDFM:22374,48.89780269235572,2.385869033143345,28.337899543378995
Porte des Lilas,1.5,"Métro 11, Métro 3B","IDFM:463263, IDFM:463262",48.87652599762882,2.4075396641899074,25.30528846153846
Pré-Saint-Gervais,2.0,Métro 7B,IDFM:24684,48.8801595806643,2.398580770693528,24.13953488372093
Pyramides,1.0,"Métro 14, Métro 7","IDFM:21960, IDFM:22375",48.86575552737676,2.3346236060049232,38.9344262295082
Pyrénées,2.0,Métro 11,IDFM:21991,48.96488848853145,2.2369172213129707,16.718954248366014
Père Lachaise,2.5,"Métro 2, Métro 3","IDFM:22112, IDFM:22020",48.86296417435419,2.386157046298338,38.83522727272727
Péreire Levallois,2.0,RER C,IDFM:monomodalStopPlace:44314,48.88533971669962,2.2978128737198227,20.632075471698112
Quatre Septembre,2.0,Métro 3,IDFM:22024,48.86959592111917,2.3362786423248583,49.07142857142857
Rambuteau,2.0,Métro 11,IDFM:21992,48.86119015695036,2.353273948594772,47.16279069767442
Ranelagh,2.0,Métro 9,IDFM:463290,48.855306214887065,2.270032697561899,38.95070422535211
Raspail,1.5,"Métro 6, Métro 4","IDFM:463292, IDFM:22131",48.92483875292141,2.863327964543537,58.41085271317829
Rennes,2.0,Métro 12,IDFM:462968,48.84833282904063,2.3277871847873874,66.02325581395348
Reuilly - Diderot,1.5,"Métro 8, Métro 1","IDFM:22098, IDFM:463294",48.84723403765801,2.386056169673362,41.05607476635514
Richard-Lenoir,2.0,Métro 5,IDFM:22002,48.8579403137847,2.3712372760722378,13.058823529411764
Richelieu - Drouot,2.0,"Métro 8, Métro 9","IDFM:22196, IDFM:21921",48.87213587031796,2.3385912215385414,47.943396226415096
Riquet,1.0,Métro 7,IDFM:22371,48.88810829453359,2.373764152701256,29.724137931034484
Robespierre,2.0,Métro 9,IDFM:21942,48.653049890010806,2.347728564450225,21.236301369863014
Rome,2.0,Métro 2,IDFM:463296,48.83264297838223,2.739331262523718,46.65151515151515
Rue Saint-Maur,2.0,Métro 3,IDFM:22025,48.86413108020325,2.380486332251813,59.69767441860465
Rue de la Pompe,2.0,Métro 9,IDFM:21908,48.863951708879945,2.2778858979590564,47.37755102040816
Rue des Boulets,2.0,Métro 9,IDFM:22442,48.85221407333194,2.3891047050322425,48.35
Rue du Bac,2.0,Métro 12,IDFM:22043,48.85587553200213,2.3256727584985164,54.78846153846154
Réaumur - Sébastopol,1.5,"Métro 3, Métro 4","IDFM:463091, IDFM:463072",48.86638175675157,2.3520507871028355,43.067796610169495
République,2.0,"Métro 3, Métro 8, Métro 11, Métro 5, Métro 9","IDFM:462946, IDFM:462962, IDFM:462960, IDFM:21903, IDFM:462963",48.86725943152733,2.364785876547561,1.0
Saint-Ambroise,2.0,Métro 9,IDFM:21910,48.86141665790915,2.3738805382115475,37.32203389830509
Saint-Augustin,2.0,Métro 9,IDFM:21911,48.55794964117084,3.1522612846969658,1.25
Saint-Denis - Porte de Paris,2.0,Métro 13,IDFM:463301,48.92992275044576,2.3561729251016,40.71764705882353
Saint-Denis - Université,2.0,Métro 13,IDFM:22242,48.9464237960711,2.364447071735675,8.363636363636363
Saint-Fargeau,2.0,Métro 3B,IDFM:21946,48.87184337222297,2.4044981831688688,26.97530864197531
Saint-François-Xavier,2.0,Métro 13,IDFM:22217,48.8512787565696,2.314407403528732,42.46153846153846
Saint-Georges,1.0,Métro 12,IDFM:22044,48.87841659490173,2.3375706403796697,38.282051282051285
Saint-Germain-des-Prés,1.0,Métro 4,IDFM:462993,48.85357456382241,2.333947810798194,29.095238095238095
Saint-Germain-en-Laye,1.0,RER A,IDFM:monomodalStopPlace:43198,48.9016780302558,2.095045494221349,41.54237288135593
Saint-Lazare,1.75,"Métro 3, Métro 13, Métro 12, Métro 14","IDFM:462971, IDFM:22218, IDFM:462969, IDFM:462972",48.87560743718584,2.324122029700433,79.85882352941177
Saint-Mandé,2.0,Métro 1,IDFM:463040,48.84623820806007,2.418962354532708,92.65116279069767
Saint-Marcel,2.0,Métro 5,IDFM:463097,48.83853898898134,2.3606397867113924,73.09302325581395
Saint-Michel,1.0,Métro 4,IDFM:463306,48.85358493521485,2.343964657062377,22.67049808429119
Saint-Michel Notre-Dame,1.5,"RER C, RER B",IDFM:monomodalStopPlace:44877,48.85302379374016,2.344959780029387,199.1
Saint-Ouen,2.0,"Métro 14, RER C","IDFM:480341, IDFM:monomodalStopPlace:43203",48.90521399238465,2.322659882113172,85.34920634920636
Saint-Paul (Le Marais),1.0,Métro 1,IDFM:22074,48.85518742160445,2.3608852562751967,92.69767441860465
Saint-Philippe-du-Roule,3.0,Métro 9,IDFM:462915,48.87215435003593,2.310001699600818,34.31372549019608
Saint-Placide,1.0,Métro 4,IDFM:463308,48.847041473609366,2.3268499626718526,86.32558139534883
Saint-Sulpice,1.0,Métro 4,IDFM:462992,48.85120862756671,2.330611953081543,50.84146341463415
Saint-Sébastien - Froissart,1.0,Métro 8,IDFM:22201,48.86098670797991,2.367370357789606,75.23809523809524
Sentier,2.0,Métro 3,IDFM:462986,48.86734660429376,2.3475538159377884,32.37755102040816
Sevran Beaudottes,2.0,RER B,IDFM:monomodalStopPlace:43193,48.94700236504643,2.5247262164471342,88.45
Simplon,1.0,Métro 4,IDFM:22133,48.8938152613519,2.347794968187123,38.15929203539823
Solférino,2.0,Métro 12,IDFM:463311,48.85855008964175,2.323102988298513,30.454545454545453
Stalingrad,2.0,"Métro 5, Métro 7","IDFM:22001, IDFM:463008",48.8841445128949,2.367348121277192,23.447574334898277
Strasbourg - Saint-Denis,1.6666666666666667,"Métro 8, Métro 9, Métro 4","IDFM:22159, IDFM:21920, IDFM:22134",48.869349679171926,2.3537315826731837,61.91256830601093
Sully - Morland,2.0,Métro 7,IDFM:22369,48.85120791254347,2.3617517381263218,30.167630057803468
Sèvres - Babylone,2.0,"Métro 12, Métro 10","IDFM:21980, IDFM:21976",48.85093150598804,2.326104689925573,24.617910447761194
Ségur,2.0,Métro 10,IDFM:463315,48.84722639005396,2.3072520746428715,39.93023255813954
Temple,2.0,Métro 3,IDFM:463316,48.86675662943444,2.361561234526356,21.271523178807946
Ternes,2.0,Métro 2,IDFM:22108,48.8782007528283,2.2981136521983068,33.6258064516129
Tolbiac,2.0,Métro 7,IDFM:463267,48.82613686175372,2.357318439213192,65.0
Trinité - d'Estienne d'Orves,2.0,Métro 12,IDFM:463317,48.87625096700832,2.333030634158166,67.5952380952381
Trocadéro,2.5,"Métro 9, Métro 6","IDFM:21917, IDFM:22164",48.863088061116,2.28683987979629,41.90344827586207
Tuileries,1.0,Métro 1,IDFM:463041,48.65029853037635,2.3939468557442822,35.552
Télégraphe,2.0,Métro 11,IDFM:21993,48.67144692865205,2.2764019723672035,34.35
Val de Fontenay,2.0,RER A,IDFM:monomodalStopPlace:47900,48.85424654032024,2.4890536307751616,100.0
Vaneau,2.0,Métro 10,IDFM:462959,48.84870050683084,2.321227717195941,39.93023255813954
Varenne,2.0,Métro 13,IDFM:463320,48.85662498274656,2.315113930509657,89.02325581395348
Vaugirard,1.0,Métro 12,IDFM:463321,48.8389837284038,2.3003039935528315,34.57142857142857
Vavin,1.0,Métro 4,IDFM:463016,48.842242093452064,2.32902391746117,32.4811320754717
Victor Hugo,2.0,Métro 2,IDFM:22109,48.73253771143796,2.4211245984369416,12.526585820895523
Villejuif - Louis Aragon,2.0,Métro 7,IDFM:22400,48.78753717099888,2.36783901176962,21.982758620689655
Villejuif Léo Lagrange,2.0,Métro 7,IDFM:463323,48.80435318028833,2.3639317476477357,32.833333333333336
Villejuif Paul Vaillant-Couturier,2.0,Métro 7,IDFM:22401,48.79631793416014,2.3683316015776423,32.833333333333336
Villiers,2.0,"Métro 3, Métro 2","IDFM:22027, IDFM:462988",48.89610905142955,2.272925107382912,38.6578947368421
Vincennes,2.0,RER A,IDFM:monomodalStopPlace:43224,48.84734683460296,2.4325836014183,218.8
Volontaires,2.0,Métro 12,IDFM:22048,48.84141172841498,2.3079833805768515,67.5952380952381
Voltaire,2.0,Métro 9,IDFM:463325,48.69344320231596,2.148868911834327,18.1892797319933
Wagram,2.0,Métro 3,IDFM:463070,48.88376067556563,2.3046251407269573,42.516129032258064
